cust_id,name,address,city,state,zipcode,age,gender,annual_income_usd,avg_spending_per_month
CUST00026,David Alvarez,6936 Ross Drive,Port Michelleville,,56225,49,Male,120524,280.05
CUST00027,Robert Dominguez,83172 Contreras Points Suite 798,Rivasside,New Hampshire,21362,55,Female,167417,1777.39
CUST00028,Karen Green,487 Joshua Club,Jimmymouth,Massachusetts,71299,26,Male,110010,877.66
CUST00029,Chris Reyes,316 Rivera Mountain,Brownchester,Missouri,77057,39,Other,93255,1405.86
CUST00030,,0546 Medina Street Apt. 734,Tuckerfurt,Michigan,88171,27,Male,68923,1729.91
CUST00031,Jennifer Martin,98069 Christopher Meadow Apt. 720,Nicholasborough,New Jersey,43341,63,Male,118198,811.51
CUST00032,Shawn Ramirez,1708 Zoe Keys Apt. 100,East Mary,South Carolina,20474,44,Male,45271,596.94
CUST00033,John Wilson,4529 Kimberly Estates,Danieltown,Maryland,75971,49,Male,159104,422.08
CUST00034,Tina Sanders,93149 Laura Port,West Amandastad,California,66818,62,Female,178834,1253.53
CUST00035,Alexandria Fisher,65726 Jessica Run Suite 987,Grahamshire,Louisiana,42746,34,Male,145781,579.32
CUST00036,Sandra Miller,,Matthewview,Oklahoma,1831,46,Female,92030,1305.15
CUST00037,Cheryl Allen,8377 Mcguire Course Suite 363,Elizabethstad,New Mexico,73045,28,Male,53519,702.57
CUST00038,Jessica Reese,7444 David Fields Suite 182,East Joanna,Louisiana,95473,23,Male,161782,760.78
CUST00039,Paige Carlson,43524 Jean Crossroad,Brandonton,Oklahoma,38791,37,Female,58026,573.32
CUST00040,Beth Oneill,09477 Peterson Center Suite 711,Vasquezshire,South Dakota,90475,23,Female,119381,895.09
CUST00041,Chase Hart,31869 Kimberly Light Suite 749,Torreston,South Carolina,97505,57,Male,148174,408.05
CUST00042,Phillip Garrett,123 Andrea Estate Apt. 679,Carterbury,Maine,93163,23,Other,34892,707.44
CUST00043,Scott Jones,9361 Deborah Grove,North Brian,Maryland,78494,59,Female,148187,1577.97
CUST00044,Laura Roberts,4648 Kim Rapid,South Jessicaview,Alaska,12471,31,Male,65995,509.68
CUST00045,Michael Valencia,490 Thomas Run,Moonburgh,Pennsylvania,57633,35,Female,178186,1899.52
CUST00046,Katherine Davis,5512 Jenkins Park Suite 680,Millerview,Massachusetts,15695,48,Male,158835,1036.55
CUST00047,Jennifer Robertson,876 Jacob Lake,Garrettton,Indiana,35504,36,Male,118340,303.15
CUST00048,Tanya Kim,09324 Andrea Course Apt. 171,South Sarah,Maine,67199,42,Female,135736,1891.82
CUST00049,Jennifer Olson,78263 Michelle Harbor Suite 584,West Jessicashire,Pennsylvania,87000,33,Male,155220,967.69
CUST00050,Charles Ryan MD,,Hughesberg,New York,5353,64,Male,47851,1158.23
CUST00051,Vincent Rivera,1870 Robert Shoal,North Terrance,Kentucky,232181,54,Male,64326,451.87
CUST00052,Jennifer Miller,865 Brennan Camp Apt. 343,South Tiffanyville,New Hampshire,22306,61,Female,73479,733.29
CUST00053,Stephanie Williams,5562 Amanda Port,East Gregory,South Carolina,50641,43,Female,68025,1436.91
CUST00054,Cynthia Durham,74740 Santana Springs,North Scott,,77515,59,Male,53365,335.54
CUST00055,Victor Vaughn,3671 Patrick Knolls Suite 406,Alanton,Rhode Island,98172,65,Female,101060,1183.87
CUST00056,Tanner Mitchell DDS,39421 Kyle Mill Apt. 952,West Markchester,Idaho,26819,39,Male,140948,1417.69
CUST00057,Joshua Mata,47451 Mccarty Divide Apt. 685,Port Ralphview,Ohio,16700,65,Female,98410,103.49
CUST00058,Michael Chambers,513 Johnson Points Suite 931,Blankenshipport,Tennessee,54017,23,Female,136325,1691.4
CUST00059,Andrew Johnson,13826 Watson Summit Suite 926,Port Tracychester,Louisiana,4789,50,Female,156526,207.03
CUST00060,Claudia Wallace,1585 Raymond Field,Port Madisonland,Texas,28302,28,Female,102493,569.15
CUST00061,Linda Smith,29318 Brenda Via Apt. 529,West Micheleberg,Florida,71308,52,Female,49076,1930.74
CUST00062,Christopher Guerrero,05395 Grant Center,Lake Robert,Delaware,98236,62,Male,41261,253.98
CUST00063,Jerome Cox,8390 Ellis Burgs,South Melaniechester,Utah,14651,39,Female,199064,1669.29
CUST00064,Theodore Jones Jr.,24998 James Ranch,Shawnchester,Connecticut,92484,30,Male,188546,1338.8
CUST00065,Matthew Rich,7365 Ross Stream,West Ronaldview,Mississippi,20507,29,Male,108247,1236.92
CUST00066,,61528 Brenda Points,Elizabethchester,Minnesota,87708,54,Male,69534,1205.2
CUST00067,Jenny Moon,9451 Eric Orchard,Port Daniel,Oklahoma,48677,26,Male,40090,416.27
CUST00068,Donald Perez,998 Chelsea Shoals Suite 024,Sandrastad,Alabama,24278,35,Female,62771,1370.76
CUST00069,Kylie Morales,018 Nicholas Motorway,Ericport,Washington,43018,34,Female,108292,1908.1
CUST00070,Latoya Miller,29014 Stanley Oval,Perryborough,Wisconsin,67655,32,Male,100295,246.37
CUST00071,Jeffrey Campbell,403 Joyce Centers Apt. 343,Port Jonathan,Massachusetts,16227,41,Male,123737,731.58
CUST00072,Paul Thompson,388 Jones Wall Apt. 607,Port Lawrencechester,Oregon,53509,44,Male,198473,997.28
CUST00073,Jennifer Wilson,2975 Samuel Coves,South Brianna,North Dakota,10809,48,Female,168433,541.35
CUST00074,Eric Morgan,18188 Rebecca Keys Suite 231,West James,Rhode Island,20537,36,Male,81559,1507.69
CUST00075,Mary Thompson,9979 Lin Road Suite 271,Ramosport,Louisiana,78019,51,Male,163639,1408.38
CUST00076,Jordan Collins,05411 Ford Plaza Apt. 793,Cassidyhaven,,8610,37,Female,105713,323.78
CUST00077,Robert Monroe,203 Ritter Pine,West Nathan,Maine,51280,61,Female,65917,1181.98
CUST00078,George Harper,51864 Cummings Shoals Apt. 519,West Kyle,Tennessee,92052,39,Male,185283,800.86
CUST00079,Betty Fletcher,8652 Debbie Manors,Andrewport,Idaho,28575,63,Male,135142,533.93
CUST00080,,14188 Ebony Wells,New Nicholas,Hawaii,24204,44,Female,118148,1711.76
CUST00081,Patricia Lamb,,Bishopmouth,Iowa,70494,57,Male,117535,203.88
CUST00082,Vincent Mueller,9774 Shaw Manor,Port James,Rhode Island,18641,59,Male,152958,988.04
CUST00083,Amy Castillo,181 Miller Estates Suite 782,Davisbury,New Hampshire,46321,29,Female,187222,1003.09
CUST00084,Jennifer Sanders,61530 Galvan Villages Suite 220,Samanthafort,Vermont,18692,60,Female,152161,1183.23
CUST00085,,43289 Rodriguez Heights,West David,Kansas,55528,50,Male,31605,475.43
CUST00086,Lisa Brown,808 Jennifer Highway Suite 095,New Robert,Texas,88085,33,Female,140747,1755.28
CUST00087,William Jones,7065 Burgess Knolls,West Johnville,Wyoming,76772,39,Male,102820,1934.08
CUST00088,Evelyn Williams,277 Lisa Circles Suite 043,Port Jameston,Massachusetts,41143,40,Female,84721,1143.01
CUST00089,Virginia Daniels,34505 Martinez Land Suite 676,,Vermont,65712,57,Male,76029,586.64
CUST00090,Robert Adams,616 Amy Islands,North Markport,Maryland,58948,54,Female,47736,1765.97
CUST00091,Jessica Norris,0596 Fowler Turnpike Apt. 165,North Douglas,Rhode Island,89379,26,Female,164806,1977.53
CUST00092,Amanda Jones,6909 Erika Land Suite 719,New Michael,Massachusetts,85640,60,Other,37531,1509.57
CUST00093,Tyler Johnson,8681 Hampton Squares,Lewisport,Vermont,64883,49,Female,63186,734.04
CUST00094,Chad Jones,715 Mckinney Plaza,Patriciaburgh,,93504,47,Male,75077,548.44
CUST00095,Marcia Leon,32370 Spencer Land,Laraside,Florida,80710,64,Male,71220,397.58
CUST00096,Ana Sanders,669 David Island Apt. 778,Davidside,South Dakota,77543,42,Male,114027,546.38
CUST00097,Vincent Reynolds,82422 Donovan Fork,Staceyhaven,Maine,10837,44,Female,101842,531.96
CUST00098,Mark Pierce,498 Wayne Extension,East Donna,Washington,79817,42,Female,78241,1938.1
CUST00099,Thomas Williams,09439 Montgomery Burgs,Smallside,Maine,84637,32,Female,165363,1322.15
CUST00100,Karen Ballard,7102 Perry Mountain Apt. 592,,Washington,45769,63,Male,110496,417.25
CUST00101,Bianca Wood,3714 Wright Court,West Soniachester,Kansas,21433,60,Female,104632,1027.28
CUST00102,Taylor Griffith,78774 Johnson Lock,Levyborough,Pennsylvania,46755,37,Female,130530,450.81
CUST00103,Douglas Harper,8016 Nicole Stream Suite 650,Williamsside,Illinois,48017,54,Female,70428,1251.43
CUST00104,Angel Gordon,912 Phillip Underpass Suite 852,New William,North Carolina,5777,48,Female,42612,748.67
CUST00105,Chad Cook,729 Mark Ridge Suite 269,Brittneyhaven,North Carolina,70275,22,Female,88269,471.63
CUST00106,Justin Wells Jr.,169 Robles Stream Apt. 974,Lake Brett,New Mexico,22850,65,Female,188886,561.3
CUST00107,,30913 Scott Manor Apt. 636,Salaston,Virginia,18599,37,Male,86673,1382.69
CUST00108,Kristina Bolton,,East Joshua,Maryland,29974,26,Male,107207,875.27
CUST00109,Vickie Wise,757 Castro Underpass,Keithshire,Utah,71698,39,Female,80767,1075
CUST00110,William Cardenas,0415 Douglas Summit,Lewisside,Louisiana,74165,62,Male,77901,1660.54
CUST00111,Breanna Gilbert,08330 Robert Stravenue,Garciaberg,Alabama,72636,55,Female,64711,1345.3
CUST00112,Brooke Delgado,3454 Rebecca Corners Apt. 802,Khanburgh,Arizona,52535,65,Female,81522,978.59
CUST00113,Charlotte Curry,04991 Mitchell Row Suite 287,Jamesville,Michigan,21799,46,Female,136537,1912.71
CUST00114,Mariah Higgins,549 Gregory Walks,Wilcoxhaven,Massachusetts,11869,63,Male,173933,507.56
CUST00115,Brandon Holden,3046 Sean Grove Suite 499,West Desireebury,Arkansas,88029,55,Male,54218,649.08
CUST00116,Eric Sullivan,145 Jeffrey Dale Suite 279,Robertside,New Mexico,99768,36,Male,158449,1831.72
CUST00117,Mary Robinson,918 Rice Lake,New Danielside,North Carolina,26998,25,Male,38632,1721.13
CUST00118,Brittany Murphy,39718 Stokes Motorway Apt. 867,New Stevenport,Washington,3354,25,Other,59884,347.11
CUST00119,Robert Reese,65180 Valerie Mountains,West Robertberg,,84586,46,Male,77388,1866.9
CUST00120,Maria Fisher,6618 Desiree Keys Apt. 286,Lake Tiffany,Alabama,99614,62,Male,71063,119.32
CUST00121,Edwin Nunez,633 Reed Harbor Apt. 106,East Jamieville,Rhode Island,4901,34,Male,161382,1662.6
CUST00122,Michael Brennan,067 Amber Throughway,East Williamport,Iowa,96382,63,Female,64675,629.72
CUST00123,Laura Barton,42836 Hill Point Apt. 687,West Shellyfurt,North Dakota,42278,46,Female,39899,458.45
CUST00124,Jennifer Evans,,Melendezside,Nebraska,55093,24,Male,146379,952.55
CUST00125,Brandi Sanchez,1751 Brett Lane,Port Charlesshire,Washington,88509,56,Female,135636,1804.46
CUST00126,Karen Booth,0331 Rocha Square Apt. 638,Kimberlyfurt,New Jersey,70447,30,Female,34502,1593.21
CUST00127,Elizabeth Ward,1753 Edwards Cape Apt. 204,Phillipsborough,Michigan,666017,35,Male,178036,1937.43
CUST00128,Roy Porter,7772 Jackson Stravenue Suite 280,,Wisconsin,1337,43,Female,81167,1127.9
CUST00129,Ryan Hall,38750 Hopkins Brook,New Andreatown,Alaska,69892,30,Male,158057,1070.06
CUST00130,Kimberly Mitchell,11823 Christine Glen Suite 461,Susanmouth,Oregon,32378,45,Male,102398,124.76
CUST00131,Courtney Sutton DVM,66687 Dana Squares,North Vincent,Nevada,85030,44,Female,34055,443.15
CUST00132,Kylie Hodge,033 Nelson Club,Rachelshire,Texas,4813,58,Male,179316,1045.48
CUST00133,Samuel Smith,261 Martin Garden,Rhodesside,Michigan,50812,36,Male,41876,1529.88
CUST00134,Brenda Hinton,501 Hall Club,Cassiefurt,Wyoming,43279,57,Male,135722,1662.94
CUST00135,Donald Riddle,58662 Miller River Suite 311,Ericberg,West Virginia,51569,35,Male,188879,638.21
CUST00136,Brian Smith,5412 Jacob Mission Suite 101,Angelamouth,Missouri,2118,41,Female,153066,1453.67
CUST00137,James Miller,826 Dominic Hollow,Trevorland,Hawaii,57474,60,Male,42219,1674.21
CUST00138,Elijah Patton,3799 Stephen Dale Suite 065,Brockmouth,New Hampshire,44375,57,Male,138118,812.13
CUST00139,Rodney Curtis,5937 Thompson Locks,Kellyfort,Oregon,32276,48,Female,188025,1421.56
CUST00140,Douglas Hartman,93982 Stephanie Mountain Apt. 741,,South Dakota,40193,38,Male,184099,930.83
CUST00141,Matthew Espinoza,79796 Stephens Turnpike Suite 891,Port Johnstad,Hawaii,85304,47,Male,179346,1972.74
CUST00142,Kristine Newman,6101 Walker Summit Apt. 756,Bartonshire,,66098,62,Male,124697,112.67
CUST00143,Zachary Webb,1125 Cooper Tunnel Apt. 875,Davismouth,Massachusetts,9305,25,Male,78108,887.26
CUST00144,Robert Wilson,123 Andrea Isle Suite 736,East Danielle,Nevada,52350,24,Male,104007,601.06
CUST00145,Lucas Gonzalez,0334 Barbara Union Apt. 553,Wilsonfort,North Dakota,84270,40,Male,63622,1714.5
CUST00146,James Long,5792 Sellers Ramp,Lake Dennisville,Kansas,40527,62,Male,126066,645.54
CUST00147,James Thomas,9296 Lopez Roads Apt. 827,Donaldmouth,New Hampshire,81688,61,Female,59676,1133.31
CUST00148,Ian Smith,68876 Perry Ville,Burnsland,Oregon,4545,60,Male,46781,1506.51
CUST00149,Connie Johnson,427 Dunn Creek,West Kimberlystad,Ohio,99694,28,Other,110963,1044.74
CUST00150,Nathan Payne,34074 Atkins Corners Suite 133,Michellechester,Hawaii,81261,57,Male,190171,879.76
CUST00151,Daniel Clark,584 Mario Squares,Keithview,North Carolina,89538,40,Female,33503,180.78
CUST00152,Brandy Brady,42232 Poole Trace Suite 729,Courtneyfurt,New Hampshire,10399,33,Female,62617,143.57
CUST00153,Sheryl Davis,577 Perkins Ways Apt. 751,Robinsonchester,Indiana,65344,41,Male,181926,1918.91
CUST00154,Ronald Morgan,750 Cory Tunnel,Smithburgh,New Hampshire,60337,59,Female,107599,1322.16
CUST00155,Tyler Harris,424 Diamond Glen,West Elizabethburgh,Arkansas,52450,33,Female,184615,1667.98
CUST00156,Molly Fischer,110 Thomas Curve Apt. 870,Lake Matthewville,Nevada,91469,50,Male,82947,1012.83
CUST00157,Benjamin Reyes,55426 Darlene Springs,North Alyssa,Alabama,80496,51,Other,63399,597
CUST00158,,9731 Donald Crossing,Bellchester,Massachusetts,18828,41,Male,111808,659.62
CUST00159,Matthew Wright,043 Julie Hill Apt. 376,East Victorland,North Dakota,,25,Male,147724,182.63
CUST00160,Dr. Bonnie Valencia,8271 Brenda Bridge Suite 300,Hunterhaven,Wyoming,54952,23,Female,42984,1602.68
CUST00161,James Davidson,1418 Terri Drives,Peterland,Maryland,92077,51,Male,92886,1204.98
CUST00162,Troy Allen,61799 Kyle Streets,North Alexander,Florida,92447,44,Female,30927,1013.52
CUST00163,Jon Reed,52410 Roman Groves Apt. 491,Gibsonstad,Arkansas,65985,27,Female,89371,1719.36
CUST00164,Carol Moore,138 Bradley Wall,East Brandonstad,Missouri,20172,39,Female,121777,945.21
CUST00165,Tyler Johnson,53654 Ashley Crest Apt. 238,South Caseymouth,Maine,41224,43,Male,136573,1901.07
CUST00166,Juan Smith,9493 Richardson Park,Lake Rachel,Wisconsin,32630,58,Other,123353,125.15
CUST00167,Timothy Johnson,050 Sweeney Stream Suite 138,South Travis,Arkansas,19162,25,Male,178517,1970.77
CUST00168,Anna Morse,571 William Route Suite 199,South Elaineberg,Kansas,38731,64,Male,135014,1650.18
CUST00169,,7431 Derek Trail Apt. 212,Owenschester,Delaware,70745,32,Female,176358,774.38
CUST00170,Randy Hayes,1124 Jason Walks Suite 213,Randyton,Utah,39670,62,Female,124378,1231.19
CUST00171,William Johnson,8831 Garcia Underpass Apt. 100,East James,Montana,49291,56,Male,51121,1742.75
CUST00172,Teresa Miller,01372 Rebecca Village Suite 107,East Sandrachester,Washington,52274,32,Female,80851,1015.04
CUST00173,James Simmons MD,4720 Deborah Parks,Andradefort,Arkansas,11998,55,Male,144979,196.99
CUST00174,Chad Gonzalez,,Coopershire,North Carolina,42654,30,Female,46964,1817.02
CUST00175,Christopher Flores,40785 Terri Courts,Lake John,Ohio,97108,52,Female,34200,1082.33
CUST00176,Zachary Robinson,2239 Drake Square Suite 905,New Stacy,New York,71558,63,Female,127130,1135.8
CUST00177,John Davis,308 Smith Ridges,Port David,Virginia,23761,53,Male,171559,126.06
CUST00178,Sarah Morris,92185 Nathaniel Shore,Willismouth,Maryland,42785,64,Female,168142,290.13
CUST00179,Christopher Fry,528 Walker Radial Apt. 644,East Jessica,Vermont,75583,56,Male,189092,1577.06
CUST00180,Zachary Sanford,95939 Sharon Divide,Juliebury,Minnesota,42380,32,Female,154009,926.4
CUST00181,Stephen Davis,0433 Michael Turnpike Apt. 006,Oconnorburgh,Nebraska,65130,38,Male,101516,1996.31
CUST00182,Heather Bennett,327 Lauren Bypass Suite 054,North Matthewfurt,Hawaii,96443,57,Male,132229,1421.79
CUST00183,Tom Spence,970 Dunlap Expressway Suite 201,Jamieborough,Nebraska,91883,23,Male,73952,1904.24
CUST00184,Tammy Fernandez,3106 Hernandez Lake Apt. 614,Gonzaleztown,Indiana,22892,45,Male,92959,630.77
CUST00185,Vanessa Wells,6774 Darlene Loaf,West Nicole,Mississippi,24956,36,Female,152040,434.69
CUST00186,Dennis Marshall,9021 Elizabeth Valley,Arellanoshire,Iowa,73062,49,Male,185781,815.52
CUST00187,James Mills,374 Ralph Walk Apt. 898,North Stacy,New Hampshire,23160,24,Female,98781,603.06
CUST00188,Carol Lewis,06163 Mary Green,Reneeland,Colorado,51369,50,Female,56392,1265.39
CUST00189,Kristen Gates,99861 Hernandez Port Apt. 191,Mikaylastad,Nebraska,35121,34,Male,67256,1514.44
CUST00190,John Lynch,46299 Williams Isle,North Julie,Louisiana,49317,43,Female,131439,863.99
CUST00191,Robert Turner,1324 Schroeder Islands Suite 691,South Jason,Nebraska,97618,52,Female,61715,270.71
CUST00192,Mr. James Brown,48628 Glenn Wells,Port Brian,Arizona,537479,28,Female,149198,150.03
CUST00193,Isaac Gonzalez,8610 Nathan Ranch Suite 279,Maxview,West Virginia,90790,47,Female,36546,514.25
CUST00194,Alexander Williams,33468 Michelle Trafficway,South Rhondaburgh,Rhode Island,1610,52,Male,162208,1491.73
CUST00195,Lee Hahn,6574 Steven Springs Suite 910,,Maryland,90208,59,Female,118128,520.95
CUST00196,Arthur Mcneil,4432 Rachel Valley Suite 520,Brightview,Nebraska,53532,59,Male,179207,1830.85
CUST00197,Andrew Erickson,3875 Bruce Ville,West Connor,Florida,97614,25,Male,69312,1338.12
CUST00198,Robert Hines,513 Walker Well,Robertmouth,Mississippi,34653,56,Female,109756,1737.97
CUST00199,Julie Wilson,999 Thomas Fields,Port Erinhaven,Maryland,54647,54,Male,45448,833.05
CUST00200,Scott Taylor,6972 Huffman Falls,South Marvinburgh,Massachusetts,83666,24,Female,143398,1968.74
CUST00201,Jesse Clark,271 Christina Roads,Powellfort,Missouri,1112,40,Male,73851,1391.05
CUST00202,Curtis Watson,8300 Jeremy Wells,Larryville,Missouri,66474,30,Male,110532,778.22
CUST00203,Carol Colon,7898 Hamilton Spur Apt. 575,East Stacy,Montana,3007,40,Male,69268,503.82
CUST00204,Nicholas Anderson,821 Dawson Turnpike,South Nancyview,Wyoming,70589,40,Female,67741,1746.41
CUST00205,Linda Williams,001 Wallace Crossing,Thomasberg,Indiana,91621,47,Male,178207,704.39
CUST00206,Alexandra Fisher,849 Robert Cove,West Danielville,New York,,34,Male,30748,184.29
CUST00207,Paula Decker,6420 Lozano Spurs,Riveratown,Alabama,88533,43,Female,112186,629.45
CUST00208,Brian Andrews,18114 Stephen Hill Suite 701,Port Benjamin,Maine,47715,29,Male,160895,440.96
CUST00209,Emily Rodgers,02255 Friedman Grove,West Lisaburgh,Delaware,53031,45,Male,140997,707.49
CUST00210,Jesus Houston,2120 Dale Ramp Suite 972,Maxwelltown,Utah,95826,47,Female,72148,1265.21
CUST00211,Bianca Knapp,7014 Smith Ways,Lake Morgan,North Dakota,69065,62,Female,52297,1050.82
CUST00212,Lisa Reynolds,5628 Alexander Estate,Christianburgh,California,98992,62,Male,93160,1450.62
CUST00213,David Cordova Jr.,663 Stephen Unions,Millerfort,New Hampshire,41927,24,Female,69577,734.28
CUST00214,Jonathan Valdez,6088 Margaret Turnpike,Pamelaside,Indiana,86300,28,Male,197017,327.64
CUST00215,Tiffany Cox,75899 Moran Lakes,Wilsonbury,Alabama,45243,23,Male,82372,404.51
CUST00216,Mark Marsh,102 Taylor Stravenue Suite 149,East David,Montana,28758,54,Female,84681,1614.84
CUST00217,Richard Love,0917 Barrett Parkways,South Adam,West Virginia,6867,33,Female,188478,286.18
CUST00218,Jessica Richards,922 Paul Rapid,Williamfurt,Nebraska,80323,33,Male,178158,1616.44
CUST00219,Pamela Hill,7226 Cameron Plaza Suite 833,New Jennifer,Utah,45759,31,Male,39890,504
CUST00220,Brandi Page,851 Hart Prairie,Craigside,Maine,55864,62,Male,143546,1388.97
CUST00221,Kelly Johnson,03424 Thomas Circle,Jamesside,Arizona,47514,48,Male,62968,1283.88
CUST00222,Ashley Parrish,863 Schwartz Causeway,Hughesmouth,Oklahoma,424801,39,Female,189446,286.69
CUST00223,David Oliver,59893 Kelly Fall Apt. 228,South Billyview,Oklahoma,35135,25,Female,177267,1365.14
CUST00224,Kevin Scott,2025 Kim Road Suite 798,Charlesmouth,North Dakota,,61,Male,77323,950.26
CUST00225,Kelly Hartman,8861 Walker Forest,Markport,Indiana,99153,44,Female,108680,1443.61
CUST00226,Karen Hoffman,57399 Susan Springs,Patrickville,Missouri,34132,42,Female,197381,1687.4
CUST00227,Diane Pruitt,877 Kenneth Run Apt. 581,East Teresaside,Ohio,1461,57,Male,102691,175.05
CUST00228,,613 Lucas Cliffs,North Stephen,Michigan,5466,51,Female,105737,1331.13
CUST00229,,346 Hayes Lodge,,Utah,16007,42,Female,164577,299.42
CUST00230,Margaret Montgomery,158 Keith Spur,Catherineport,Wisconsin,57868,44,Male,90444,819.86
CUST00231,Rodney Johnson,326 Choi Divide,Ericastad,Alabama,73052,42,Female,197999,124.09
CUST00232,Brenda Williams,814 Kaitlin Stream Suite 368,East Jack,South Carolina,33628,29,Female,37080,724.42
CUST00233,Christopher Marsh,781 Powers Glen,East Jessicafort,Michigan,47311,60,Male,174479,421.77
CUST00234,Matthew Garcia,57759 Steele Drives,Lindseychester,Hawaii,1134,34,Male,189385,1156.9
CUST00235,Richard Joseph,5257 Griffin Trail Suite 781,Lake Catherine,Louisiana,18851,61,Female,102189,1073.32
CUST00236,Christina Gross,108 Lisa Prairie,Hammondborough,Arizona,72799,43,Female,92803,1607.22
CUST00237,Steven Fernandez,6394 Steven Pass,South Michaeltown,Texas,31811,28,Female,154591,1315.93
CUST00238,Renee Mendez,272 Ashley Port,,Minnesota,5798,45,Male,156230,1457.79
CUST00239,John Brown,03856 Hardin Cape Apt. 518,Maryview,Pennsylvania,71850,26,Female,75094,275.71
CUST00240,Jamie Gray,463 Gomez Ways,Tommyfort,Rhode Island,1365,47,Male,177524,152.75
CUST00241,Brenda Martin,432 Eric Rapids,Lake Jerrymouth,Washington,15356,31,Male,41383,1942.13
CUST00242,Mr. Daniel Martin,30299 Dennis Passage Apt. 920,West Sandra,North Dakota,53644,32,Male,85472,911.36
CUST00243,Kristy Smith,37977 Jeffrey Loop Apt. 929,Garymouth,New Jersey,78689,61,Female,164090,850.45
CUST00244,Crystal Cruz,38862 Gregory Ridges,Port Amandaville,Colorado,63709,59,Male,32653,166.52
CUST00245,Stephanie Ryan,686 Golden Square,Perezfort,Wyoming,50470,32,Male,93568,325.93
CUST00246,Robert Velez,2473 Justin Wells,Scotttown,Virginia,97972,51,Male,54916,1886.9
CUST00247,Laura Wilson,3565 Eric Run,Joseside,Nevada,74513,25,Male,169684,1420.21
CUST00248,Donald Becker,8872 Hansen Orchard,Vanessashire,Minnesota,92971,23,Male,114195,877.5
CUST00249,Charles Shields,372 Jason Locks,Laurenton,Hawaii,51501,34,Female,128776,1818.52
CUST00250,Abigail Davis,9611 Walker Common,Lake Patrickfurt,South Carolina,86507,60,Female,111535,1220.8
CUST00251,Michelle Harper,770 Melissa Unions,Jameshaven,North Dakota,92048,38,Female,183385,1518.29
CUST00252,Christopher Johnson,021 Chan Knoll,Sullivanborough,North Dakota,2515,44,Male,142829,920.04
CUST00253,Andrea Davis,895 Richmond Harbor Apt. 937,Andrewsview,Idaho,53864,31,Male,141458,919.9
CUST00254,Kristin Gordon,84894 Church Port Suite 357,Mosleytown,New Mexico,15740,34,Female,157956,229.87
CUST00255,James Kramer,356 Black Branch,Johnland,Montana,88803,63,Male,195927,1494.55
CUST00256,Gloria Spencer,5539 White Summit,South Jillian,Kansas,96895,60,Female,70585,288.32
